// Compost colors for ferdinandsflowers. You may add your own colors, change existing ones, or remove colors that aren't needed.
african_daisy, #bed3dd
albuca_namaquensis, #ffffff
australian_cornflower, #ffffff
australian_flame_pea, #ffffd6
baby_blue_eyes, #e0fbff
baby_blue_eyes_small, #f2ffff
bachelor_button, #d9d6ff
bamboo_black_item, #fffffc
bamboo_golden_item, #ffffda
bamboo_groove_item, #faffe1
baneberry, #ffffff
basket_stinkhorn, #ffffff
beach_grass, #e8f7f7
beach_strawberry, #ffffff
birds_eye_gilia, #ffffff
birthday_cake_darkosto, #83ffff
bleeding_heart, #ffffff
blue_bachelor_button, #a8ccff
blue_bell_bachelor_button, #b4f0ff
blue_bell_sweet_peas, #f5ffff
blue_eyed_grass, #b6b8e0
blue_tinsel_lily, #ffffff
borage, #e7ffff
bright_magenta_sweet_peas, #ffe7ff
buckwheat, #fef1e3
buckwheat_red, #c59886
cactus, #ffffff
california_poppy, #ffffd9
california_sea_thrift, #ffffff
calla_lily, #eaffcd
cape_aloe, #ffffd4
chrysanthenum, #ffffe1
cinquefoil, #ffffff
cloud_blue_corydalis, #befff1
cloud_sage, #ffffff
clover_flowers, #ffffff
clover_leaves, #d4ffca
coastal_lotus, #ffffd7
commelina, #c6fbd4
common_periwinkle, #ffffff
corydalis, #dcffac
cosmos, #f1cfde
cosmos_mix, #f8ebea
cracking_russula, #ffffff
cranberry, #f8ccd0
creeping_thyme, #ffffff
crimson_gladiola, #fff8fb
crinoline_stinkhorn, #ffffe1
crocus_mix, #ffffff
cyan_hyacinth, #ebffff
dahlia, #e7be9b
dark_blue_borage, #e3ffff
dark_blue_sweet_peas, #c2d7ff
darkosto_traposto, #94689a
datura, #abd08c
day_lily, #ffffbe
desert_paintbrush, #ffffff
desert_sand_verbena, #ffffff
desert_sturt_pea, #ffffff
devils_claw, #ffffff
devils_claw_vine, #ffffff
devils_fingers, #ffd9e7
devils_fingers_single, #ffffff
dried_sunflower, #ffed5e
dry_shrub, #ffffff
duckweed, #86e073
duckweed_bunch, #75cf62
echinacea, #ffffee
engelmanns_hedgehog_cactus, #fff1e0
flowering_current, #fffff8
forget_me_not, #ffffff
frogbit, #c5eb84
frogbit_flower, #9dca54
fuchsia, #dcb9cd
fuchsia_small, #ffe7fc
gladiola, #ffffff
gloriosa_lily, #ffffff
golden_bean, #fffffc
grape_hyacinth, #f4ffff
hawthorne, #fcc9d3
himalayan_blue_poppy, #ffffff
inky_cap, #fffaff
iris, #f7eaee
iris_fancy_dress, #fef4ff
jewel_of_the_desert, #ffffff
lady_slipper_orchid, #fffffa
lantana, #f1e198
larkspur, #e8b5ff
lavender_larkspur, #fff0ff
lewisia, #eef7d0
light_blue_forget_me_not, #eeffff
light_blue_lobelia, #c5ffff
light_pink_geranium, #e8decf
light_pink_larkspur, #ffffff
lily_of_the_valley, #c8ffc6
live_forever, #ffffd6
live_forever_leaves, #ffffff
lotus_pink, #c6d7b1
lotus_yellow, #c6ee9a
magenta_clover, #fff2ff
magenta_larkspur, #cc61af
magenta_orchid, #d9e6d4
magenta_sweet_peas, #ffffff
magenta_zinnia, #bfb297
manzanita_bush, #9d9870
maroon_mallow, #ffffff
medium_blue_lobelia, #bbeaff
mendocino_poppy, #ffffff
